Type_of_vehicle,Road_surface_type,Light_conditions,Weather_conditions,Accident_Severity
Automobile,Asphalt roads,Daylight,Normal,Low Probability
Public (> 45 seats),Asphalt roads,Daylight,Normal,Low Probability
Lorry (41?100Q),Asphalt roads,Daylight,Normal,High Probability
Public (> 45 seats),Earth roads,Darkness,Normal,Low Probability
,Asphalt roads,Darkness,Normal,Low Probability
,,Daylight,Normal,Low Probability
Automobile,,Daylight,Normal,Low Probability
Automobile,Asphalt roads,Daylight,Normal,Low Probability
Lorry (41?100Q),Earth roads,Daylight,Normal,Low Probability
Automobile,Asphalt roads,Daylight,Normal,High Probability
Public (13?45 seats),Asphalt roads,Daylight,Normal,High Probability
Automobile,Earth roads,Daylight,Normal,High Probability
Public (> 45 seats),Asphalt roads,Daylight,Normal,Low Probability
Lorry (41?100Q),Asphalt roads,Daylight,Normal,Low Probability
Automobile,Asphalt roads,Daylight,Normal,High Probability
Lorry (11?40Q),Asphalt roads,Darkness,Raining,High Probability
Public (13?45 seats),Asphalt roads,Darkness,Raining,Low Probability
Public (13?45 seats),Asphalt roads,Darkness,Raining,High Probability
,Asphalt roads,Darkness,Raining,Low Probability
Long lorry,Asphalt roads,Daylight,Normal,High Probability
Lorry (41?100Q),Asphalt roads,Daylight,Normal,Low Probability
Lorry (11?40Q),Asphalt roads,Daylight,Normal,High Probability
Lorry (41?100Q),Asphalt roads,Daylight,Normal,High Probability
Public (12 seats),Asphalt roads,Daylight,Normal,High Probability
,Asphalt roads with some distress,Daylight,Normal,Low Probability
Taxi,Asphalt roads,Daylight,Normal,Low Probability
,Asphalt roads,Daylight,Normal,Low Probability
Automobile,Asphalt roads,Daylight,Normal,Low Probability
,Asphalt roads,Daylight,Normal,Low Probability
Lorry (41?100Q),Asphalt roads,Daylight,Normal,Low Probability
Automobile,Asphalt roads,Daylight,Normal,Low Probability
Automobile,Asphalt roads,Daylight,Normal,Low Probability
Lorry (41?100Q),Asphalt roads,Daylight,Normal,Low Probability
Automobile,Asphalt roads,Daylight,Normal,Low Probability
Automobile,Asphalt roads,Daylight,Normal,Low Probability
Automobile,Asphalt roads,Daylight,Normal,Low Probability
Taxi,Asphalt roads,Darkness,Normal,Low Probability
,Asphalt roads,Darkness,Normal,Low Probability
,Asphalt roads,Darkness,Normal,Low Probability
Automobile,Asphalt roads,Daylight,Normal,Low Probability
Pick up upto 10Q,Asphalt roads,Daylight,Normal,Low Probability
,Asphalt roads,Darkness,Normal,Low Probability
Automobile,Asphalt roads,Darkness,Normal,Low Probability
Public (12 seats),Asphalt roads,Daylight,Normal,Low Probability
Public (13?45 seats),Gravel roads,Daylight,Normal,Low Probability
Lorry (11?40Q),Asphalt roads,Daylight,Normal,High Probability
Stationwagen,Asphalt roads,Daylight,Normal,Low Probability
Ridden horse,Asphalt roads,Daylight,Normal,Low Probability
Stationwagen,Asphalt roads,Daylight,Normal,Low Probability
Automobile,Asphalt roads,Daylight,Normal,Low Probability
Automobile,Asphalt roads,Daylight,Normal,Low Probability
Other,Asphalt roads,Daylight,Normal,Low Probability
Taxi,Asphalt roads,Daylight,Normal,Low Probability
Automobile,Asphalt roads,Daylight,Normal,Low Probability
Stationwagen,Asphalt roads,Daylight,Normal,Low Probability
Automobile,Asphalt roads,Daylight,Normal,Low Probability
Public (12 seats),Asphalt roads,Daylight,Normal,Low Probability
,Asphalt roads,Daylight,Normal,Low Probability
Automobile,Asphalt roads,Daylight,Raining,Low Probability
Lorry (41?100Q),Gravel roads,Daylight,Raining,Low Probability
,Asphalt roads,Daylight,Normal,Low Probability
Public (> 45 seats),Asphalt roads,Daylight,Normal,Low Probability
,Asphalt roads,Daylight,Normal,Low Probability
Public (12 seats),Asphalt roads,Daylight,Normal,Low Probability
Public (12 seats),Earth roads,Daylight,Normal,Low Probability
Automobile,Asphalt roads,Daylight,Normal,Low Probability
,Asphalt roads,Daylight,Normal,Low Probability
Automobile,,Daylight,Normal,Low Probability
Lorry (41?100Q),Gravel roads,Daylight,Normal,Low Probability
Public (12 seats),Asphalt roads,Daylight,Normal,Low Probability
Lorry (11?40Q),,Darkness,Normal,Low Probability
Automobile,Asphalt roads,Darkness,Normal,Low Probability
Automobile,Earth roads,Daylight,Normal,Low Probability
Automobile,Asphalt roads,Daylight,Normal,Low Probability
Bajaj,Asphalt roads,Daylight,Normal,Low Probability
Public (12 seats),Asphalt roads,Daylight,Normal,Low Probability
Lorry (11?40Q),Asphalt roads,Daylight,Normal,High Probability
,Asphalt roads,Daylight,Normal,Low Probability
,Earth roads,Darkness,Normal,Low Probability
Automobile,Asphalt roads,Darkness,Normal,Low Probability
Lorry (11?40Q),Asphalt roads,Darkness,Normal,High Probability
Lorry (41?100Q),Asphalt roads,Darkness,Normal,High Probability
Pick up upto 10Q,Asphalt roads,Daylight,Normal,Low Probability
Lorry (11?40Q),Asphalt roads,Daylight,Normal,Low Probability
Stationwagen,Asphalt roads,Darkness,Normal,Low Probability
Other,Asphalt roads,Darkness,Normal,Low Probability
Other,Asphalt roads,Darkness,Normal,Low Probability
Lorry (11?40Q),Asphalt roads,Daylight,Normal,High Probability
,Asphalt roads,Daylight,Normal,High Probability
Automobile,Asphalt roads,Daylight,Normal,High Probability
Lorry (41?100Q),Earth roads,Daylight,Normal,High Probability
Other,Asphalt roads,Daylight,Normal,Low Probability
Lorry (41?100Q),Asphalt roads,Daylight,Normal,Low Probability
Automobile,Asphalt roads,Daylight,Normal,Low Probability
Pick up upto 10Q,Asphalt roads,Daylight,Normal,Low Probability
Lorry (41?100Q),Other,Daylight,Normal,Low Probability
Public (13?45 seats),Gravel roads,Daylight,Normal,Low Probability
Long lorry,Gravel roads,Daylight,Normal,Low Probability
Automobile,Asphalt roads,Darkness,Normal,Low Probability
Automobile,Asphalt roads,Darkness,Normal,Low Probability
Other,Earth roads,Darkness,Normal,Low Probability
,Asphalt roads,Darkness,Normal,Low Probability
Long lorry,Asphalt roads,Darkness,Normal,Low Probability
Public (12 seats),Asphalt roads,Darkness,Normal,Low Probability
Public (12 seats),Asphalt roads,Daylight,Normal,Low Probability
Other,Earth roads,Daylight,Normal,Low Probability
Other,Asphalt roads,Daylight,Normal,Low Probability
Other,Asphalt roads,Darkness,Normal,High Probability
Public (12 seats),Asphalt roads,Darkness,Normal,High Probability
Lorry (41?100Q),Asphalt roads,Darkness,Normal,High Probability
Other,Asphalt roads,Darkness,Normal,High Probability
Public (12 seats),Asphalt roads,Darkness,Normal,Low Probability
Other,Asphalt roads,Darkness,Normal,Low Probability
Lorry (11?40Q),Asphalt roads,Darkness,Normal,Low Probability
Other,Asphalt roads,Daylight,Normal,Low Probability
Other,Asphalt roads,Daylight,Normal,Low Probability
Other,Earth roads,Daylight,Normal,Low Probability
Pick up upto 10Q,Asphalt roads,Daylight,Normal,Low Probability
Automobile,Asphalt roads,Darkness,Normal,Low Probability
Other,Asphalt roads,Darkness,Normal,Low Probability
Lorry (41?100Q),Asphalt roads,Darkness,Normal,Low Probability
Public (13?45 seats),Earth roads,Darkness,Normal,Low Probability
Automobile,Asphalt roads,Darkness,Raining,Low Probability
Pick up upto 10Q,Asphalt roads,Darkness,Raining,Low Probability
Lorry (41?100Q),Asphalt roads,Daylight,Normal,Low Probability
Public (12 seats),Asphalt roads,Daylight,Normal,Low Probability
Other,Asphalt roads,Daylight,Normal,Low Probability
Lorry (41?100Q),Asphalt roads,Daylight,Normal,High Probability
Pick up upto 10Q,Asphalt roads,Daylight,Normal,Low Probability
Other,Asphalt roads,Daylight,Normal,Low Probability
Lorry (41?100Q),Other,Daylight,Normal,Low Probability
Ridden horse,Asphalt roads,Darkness,Normal,Low Probability
Automobile,Asphalt roads,Darkness,Normal,Low Probability
Automobile,Asphalt roads,Darkness,Normal,Low Probability
Stationwagen,Asphalt roads,Daylight,Normal,Low Probability
Other,Asphalt roads,Darkness,Raining,Low Probability
Lorry (41?100Q),Asphalt roads,Darkness,Raining,Low Probability
Lorry (41?100Q),Asphalt roads,Darkness,Normal,High Probability
Long lorry,Earth roads,Daylight,Normal,Low Probability
Stationwagen,Asphalt roads,Darkness,Normal,Low Probability
Public (12 seats),Asphalt roads,Darkness,Raining,High Probability
Automobile,Asphalt roads,Darkness,Raining,High Probability
Public (12 seats),Asphalt roads,Darkness,Normal,High Probability
Lorry (41?100Q),Asphalt roads,Darkness,Normal,High Probability
Automobile,Asphalt roads,Darkness,Raining,Low Probability
Lorry (41?100Q),Asphalt roads,Darkness,Raining,Low Probability
Lorry (41?100Q),Asphalt roads,Darkness,Raining,Low Probability
